query_id	nugget_id	timestamp	importance	nugget_len	nugget_text
26	VM26.002	1358344449	3	37	On 16 January 2013,at around 0800 GMT
26	VM26.003	1358344449	3	87	A AW109 helicopter crashed into a construction crane in the London Borough of Vauxhall.
26	VM26.006	1358344449	2	72	Two cars might also have been involved according to Transport for London
26	VM26.007	1358345002	1	98	South West Trains advised passengers that Vauxhall's train station was closed during the incident.
26	VM26.008	1358345394	3	62	crane attached to St George Wharf Tower  near Vauxhall Bridge,
26	VM26.009	1358346914	3	87	The Metropolitan Police confirmed at 0930 GMT that two people had died in the incident.
26	VM26.013	1358350335	2	88	Photos of the scene suggest that wreckage landed in Wandsworth Road outside Wendle Court
26	VM26.015	1358351543	1	49	A lifeboatwas scrambled but was later stood down.
26	VM26.017	1358364328	1	34	helicopter leased to  Rotormotion,
26	VM26.018	1358364966	2	69	Six people were taken to hospital and seven more treated at the scene
26	VM26.019	1358365082	3	60	Captain Pete Barnes, and a pedestrian,Matthew Wood, had died
26	VM26.020	1358371055	1	129	The Civil Aviation Authority said it was the first fatal helicopter accident in central London since their records began in 1976.
26	VM26.021	1358383163	2	179	The London Fire Bridage said that they had rescued one person from a burning car and that in total two office buildings, five cars and two motorbikes were damaged in the accident.
26	VM26.024	1358393977	1	67	The operator of the crane avoided incident as he was late for work 
26	VM26.026	1358448019	2	56	The BBC reported that the crash happened "in heavy mist"
26	VM26.027	1358448019	1	130	the London Heliport in Battersea contacted the Royal National Lifeboat Institutionafter it had lost contact with one of its craft.
26	VM26.028	1358448019	1	114	A lifeboat was scrambled but was later stood downand a fireboatalso conducted a precautionary search of the river.
26	VM26.029	1358984547	1	240	A report published by the Air Accidents Investigation Branch on 23 January indicated the client Barnes was to collect had expressed concerns about the weather and twice suggested he delay take-off, but Barnes had already started his engine.
26	VM26.030	1359076656	1	113	Cpt. Barnes had been en route from Redhill Airport to Elstree to collect a passenger, businessman Richard Caring.
26	VM26.031	1359076656	3	157	after being unable to land at Elstree, Barnes had asked Air Traffic Control for a change of route and permission to land at the London Heliport in Battersea.
27	VM29.001	1351611559	3	114	Severe Cyclonic Storm Nilam (Nee lam) The storm brought torrential rains to Sri Lanka,  The name is from Pakistan 
27	VM29.007	1351611559	1	181	movements: 500 km on south-southeast of Chennai, east-northeast of Trincomalee in Sri Lanka, move north westwards and cross north Tamil Nadu, cyclone made landfall at Mahabalipuram.
27	VM29.012	1351679098	1	306	India Meteorological Department's Regional Specialized Meteorological Centre monitored a depression..result of a deep depression, expected to intensify further into a cyclonic storm.  TheIMD continued tracking Nilam as a weak depression until November 2nd, when they issued their last warning on the system
27	VM29.014	1351683470	1	47	The Puttalam - Mannar road has come under water
27	VM29.015	1351683470	1	384	Fatalities: A 27-year-old woman was killed when a sand rock fell on her house, One crew member is reported to be killed, with 6 others missing. 16 crew members have reportedly escaped, Four more people were found deadin Andhra Pradesh, two people were electrocuted near the New Port railway station in Kakinada, old woman was killed by hypothermia, old woman was killed by hypothermia
27	VM29.017	1351683470	1	129	In Chennai, all schools and colleges were closed, elsewhere schools and community halls have been converted into cyclone shelters
27	VM29.020	1351709505	2	60	strong Cyclonic Storm with peak winds of 45 knots (85 km/h).
27	VM29.021	1351712011	2	57	More than 3000 people were evacuated around Mahabalipuram
27	VM29.022	1351712011	1	107	Kalpakkam Atomic Power Station officials stated that vigil was being maintained on all important equipment,
27	VM29.023	1351712011	2	55	oil tanker MT Pratibha Cauvery ran aground near Chennai
27	VM29.025	1351789618	1	321	Overall, 4,627 people were reportedly displaced due to the flooding. Floodwater inundated farmland. Flooding in Tamil Nadu, Sri Lanka, West Godavari district. Several villages in and around Ongole were inundated by floodwater.  Chief Minister Nallari Kiran Kumar Reddy conducted an arial survey in flood affected areas.\t\n
27	VM29.026	1351789618	1	54	56 people have left their homes in fear of landslides.
